"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
"Owlet Moth","animalia","insecta","arthropoda","Hadena azorica","noctuidae","azorica","lepidoptera","hadena",2017,"Decreasing","Palearctic","Terrestrial","Global","15 March 2017",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Geological events;Climate change & severe weather","Forest;Introduced vegetation"
"Leaf-beetle","animalia","insecta","arthropoda","Mniophilosoma obscurum","chrysomelidae","obscurum","coleoptera","mniophilosoma",2017,"Decreasing","Palearctic","Terrestrial","Global","15 December 2016",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Geological events;Climate change & severe weather","Forest;Shrubland;Wetlands (inland)"
"Rove beetle","animalia","insecta","arthropoda","Atheta floresensis","staphylinidae","floresensis","coleoptera","atheta",2017,"Decreasing","Palearctic","Terrestrial","Global","21 February 2017",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Geological events;Climate change & severe weather","Forest;Introduced vegetation"
"Ground-beetle","animalia","insecta","arthropoda","Bembidion derelictus","carabidae","derelictus","coleoptera","bembidion",2017,"Unknown","Palearctic","Terrestrial","Global","17 July 2016",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
NA,"animalia","gastropoda","mollusca","Chamalycaeus mixtus","cyclophoridae","mixtus","architaenioglossa","chamalycaeus",2016,"Decreasing","Indomalayan","Terrestrial","Global","09 September 2016",NA,"Energy production & mining","Rocky areas (eg. inland cliffs, mountain peaks)"
"Miss Waldron’s Red Colobus","animalia","mammalia","chordata","Piliocolobus waldronae","cercopithecidae","waldronae","primates","piliocolobus",2016,"Decreasing","Afrotropical","Terrestrial","Global","01 July 2008",NA,"Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance","Forest"
NA,"animalia","bivalvia","mollusca","Eupera crassa","sphaeriidae","crassa","veneroida","eupera",2017,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","02 February 2017",NA,"Pollution","Wetlands (inland)"
NA,"animalia","amphibia","chordata","Werneria iboundji","bufonidae","iboundji","anura","werneria",2017,"Decreasing","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","06 July 2016",NA,"Biological resource use","Forest;Wetlands (inland)"
"Pernambuco Pygmy-owl","animalia","aves","chordata","Glaucidium mooreorum","strigidae","mooreorum","strigiformes","glaucidium",2016,"Decreasing","Neotropical","Terrestrial","Global","01 October 2016",NA,"Biological resource use;Natural system modifications","Forest"
"Belem Curassow","animalia","aves","chordata","Crax pinima","cracidae","pinima","galliformes","crax",2016,"Decreasing","Neotropical","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use","Forest"
NA,"animalia","amphibia","chordata","Atelopus guanujo","bufonidae","guanujo","anura","atelopus",2018,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","16 July 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases","Forest;Wetlands (inland)"
"Rumplestiltskin Pygmy Grasshopper","animalia","insecta","arthropoda","Agkistropleuron simplex","tetrigidae","simplex","orthoptera","agkistropleuron",2017,"Decreasing","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","11 January 2017",NA,"Biological resource use","Forest;Wetlands (inland)"
NA,"animalia","bivalvia","mollusca","Pisidium betafoense","sphaeriidae","betafoense","veneroida","pisidium",2016,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global","11 June 2016",NA,"Residential & commercial development;Agriculture & aquaculture","Unknown"
